timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user
74162.988;-2420;320;0;0;0;12.464857532097911;1;1
74167.312;-2420;321;0;0;0;12.443705279430628;1;1
74171.324;-2420;323;0;0;0;12.402565605156898;1;1
74175.312;-2420;324;0;0;0;12.381505778932368;1;1
74179.244;-2420;325;0;0;0;12.360463212372022;1;1
74186.769;-2420;325;0;0;0;12.358597134711417;1;1
74250.917;-2420;325;9;0;0;0;2;1
74763.159;-2420;326;0;0;0;12.197483807840246;1;1
74770.795;-2420;328;0;0;0;12.155976206094442;1;1
74774.823;-2420;328;0;0;0;12.155005307256028;1;1
74779.297;-2420;331;0;0;0;12.09444620452783;1;1
74783.385;-2418;334;0;0;0;12.073640643371599;1;1
74787.383;-2417;336;0;0;0;12.052859958315738;1;1
74791.372;-2415;338;0;0;0;12.051906928831587;1;1
74795.253;-2413;340;0;0;0;12.050979846738096;1;1
74799.353;-2412;343;0;0;0;12.010362445586468;1;1
74803.246;-2409;343;0;0;0;12.068888502138373;1;1
74807.236;-2407;343;0;0;0;12.107566234133936;1;1
74811.225;-2406;345;0;0;0;12.086794837813146;1;1
74815.295;-2403;347;0;0;0;12.105633000676747;1;1
74819.164;-2401;349;0;0;0;12.104705104817633;1;1
74822.994;-2400;350;0;0;0;12.103786702356;1;1
74827.3;-2397;352;0;0;0;12.122562433969671;1;1
74831.292;-2395;355;0;0;0;12.101797388261787;1;1
74835.17;-2392;356;0;0;0;12.140477965666253;1;1
74838.88;-2390;358;0;0;0;12.13958598981669;1;1
74843.321;-2388;359;0;0;0;12.158320260333795;1;1
74847.197;-2387;361;0;0;0;12.137586853294572;1;1
74850.539;-2386;361;0;0;0;12.156582725198962;1;1
74855.086;-2385;362;0;0;0;12.155488414849478;1;1
74858.537;-2385;363;0;0;0;12.134862146481327;1;1
74866.62;-2384;364;0;0;0;12.132920758608;1;1
74870.59;-2384;364;0;0;0;12.131967465111092;1;1
74874.58;-2384;365;0;0;0;12.111219944978648;1;1
