timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user
18398.493;-1926;482;0;0;0;-612.661530670608;1;1
18402.491;-1939;482;0;0;0;-618.2269335944094;1;1
18406.657;-1951;482;0;0;0;-623.1874141406698;1;1
18410.49;-1962;482;0;0;0;-627.7107781880222;1;1
18414.49;-1974;482;0;0;0;-632.6848008353327;1;1
18418.487;-1987;482;0;0;0;-638.1620931716656;1;1
18422.515;-1999;482;0;0;0;-643.0841312726802;1;1
18426.488;-2011;481;0;0;0;-647.4831761159448;1;1
18430.493;-2022;480;0;0;0;-651.3333880876165;1;1
18434.493;-2034;479;0;0;0;-655.6880418893361;1;1
18438.493;-2046;477;0;0;0;-659.5069952260804;1;1
18455.448;-2057;476;0;0;0;-658.9004675422243;1;1
18456.448;-2088;472;0;0;0;-672.4107952963044;1;1
18458.484;-2097;471;0;0;0;-675.8082671999352;1;1
18462.486;-2106;470;0;0;0;-678.5158960372524;1;1
18466.491;-2116;468;0;0;0;-681.2114235328696;1;1
18470.49;-2124;467;0;0;0;-683.3888141167149;1;1
18474.444;-2131;466;0;0;0;-685.0648245131237;1;1
18478.492;-2138;464;0;0;0;-686.1942086831715;1;1
18482.371;-2144;463;0;0;0;-687.3777601405935;1;1
18486.491;-2148;463;0;0;0;-687.967737242795;1;1
18490.091;-2151;462;0;0;0;-687.7273937350253;1;1
18494.496;-2154;461;0;0;0;-687.2095018032961;1;1
18498.367;-2156;461;0;0;0;-686.8780188991876;1;1
18502.491;-2157;460;0;0;0;-685.4586560200106;1;1
18506.343;-2159;460;0;0;0;-685.1383979563872;1;1
18510.491;-2161;459;0;0;0;-684.2191417666128;1;1
18514.374;-2162;459;0;0;0;-683.3938774483507;1;1
18518.502;-2162;458;0;0;0;-681.4945159823139;1;1
18522.494;-2163;457;0;0;0;-680.1448792928874;1;1
18530.375;-2163;457;0;0;0;-677.4960615290953;1;1
18538.497;-2164;456;0;0;0;-674.7877445551864;1;1
18546.269;-2164;456;0;0;0;-672.2163330427425;1;1
18550.498;-2165;455;0;0;0;-670.8253598408025;1;1
18562.545;-2165;455;0;0;0;-666.8943154920863;1;1
18778.365;-2165;455;0;0;1;0;3;1
18802.641;-2165;455;0;0;1;0;3;1
18922.357;-2165;455;0;0;1;0;3;1
19274.48;-2164;454;0;0;0;-494.62863650503857;1;1
19278.486;-2163;454;0;0;0;-493.5529644024924;1;1
19282.49;-2161;454;0;0;0;-492.120488099943;1;1
19286.491;-2160;454;0;0;0;-491.0524134596567;1;1
19289.775;-2158;454;0;0;0;-489.7543251451297;1;1
19294.487;-2154;453;0;0;0;-487.13294640102737;1;1
19298.488;-2148;453;0;0;0;-484.285612454737;1;1
19302.493;-2143;453;0;0;0;-481.8034256330869;1;1
19306.155;-2136;452;0;0;0;-478.3154152592262;1;1
